tiempo,led_verde,led_rojo,val_x,val_y
2.860000040527666e-05,1,255.00000953333347,0,506
0.5931430000000546,1,255.19771433333335,512,506
0.7068926000001738,1,255.23563086666672,1023,506
0.8224978999996893,1,255.27416596666657,1023,1023
0.9405269999997472,1,255.31350899999993,1023,1023
1.0593669999998383,1,255.3531223333333,512,1023
1.173149999999623,1,255.39104999999986,512,1023
1.2895297000004575,1,255.4298432333335,0,1023
1.4019563000001654,1,255.46731876666672,0,1023
1.514280399999734,1,255.50476013333324,512,1023
1.628103199999714,1,255.54270106666658,1023,1023
1.7459748999999647,1,255.58199163333333,1023,1023
1.8642249000004085,1,255.62140830000013,1023,1023
1.9825025999998616,1,255.66083419999995,1023,1023
2.1014476999998806,1,255.70048256666664,641,1023
2.218475700000454,1,255.73949190000016,528,1023
2.33424019999984,1,255.7780800666666,512,1023
2.448562700000366,1,255.8161875666668,512,1023
2.562133000000358,1,255.85404433333346,512,506
2.6763927000001786,1,255.89213090000007,512,506
2.7901842999999644,1,255.93006143333332,512,506
2.9044670000002952,1,255.96815566666677,512,506
